run,best,mean
1,-7.060336228052593e-05,-2.2835822503745633
2,-5.792485794990284e-06,-0.9101656267772232
3,-4.417146524704365e-05,-1.1519218572310095
4,-0.00012206029331252071,-2.2836867517542494
5,-9.960431977130171e-06,-1.2292588122302865
6,-0.00013244506348608355,-1.8122469245339778
7,-0.00017976799920637495,-1.7281541290001596
8,-2.5265026598006488e-05,-1.5477504028044813
9,-7.987576460976624e-05,-2.441797705725409
10,-0.0001244942655452823,-1.978905237414269
11,-1.914128139738071e-05,-2.0518987323382945
12,-0.0018103544909546737,-1.7569335279564182
13,-1.5015296965203389e-05,-1.0741109268259648
14,-7.004183777199088e-05,-2.7224241128927043
15,-3.495838157342948e-05,-1.7915361102432
16,-5.209384363902369e-05,-0.9474218498132956
17,-4.261964343952882e-05,-0.9392464784673955
18,-3.704655083949132e-05,-2.5871553166849757
19,-6.69332350410439e-05,-1.7748591996111478
20,-6.398828313493554e-05,-1.5399836518599197
